Comment,Type
word food crapilicious,not_cyberbullying
classy whore,not_cyberbullying
p thanks head concerned another angry dude twitter,not_cyberbullying
isi account pretending kurdish account,not_cyberbullying
yes test god good bad indifferent weird whatever prof god existence,not_cyberbullying
everything mostly priest,not_cyberbullying
rebecca black drop school due bullying,ethnicity
bully flush kd,other_cyberbullying
rt turkish state killed 241 child last 11 year,not_cyberbullying
love best response hotcake managed film non committal meh adolescent,gender
twitter basically angry letter generation,not_cyberbullying
best pick line,not_cyberbullying
love people call james potter bully,other_cyberbullying
officially hate stupid bus system,other_cyberbullying
know saudi chased girl burning building,gender
still jack amsterdam ciroc crown bud light lime rita cru love handle,not_cyberbullying
men one going push real change,not_cyberbullying
one power generally,not_cyberbullying
education nation bullying turn 10,other_cyberbullying
isso é bullying,other_cyberbullying
event like daily occurrence around world,not_cyberbullying
know people like listen old school,not_cyberbullying
first time happened,not_cyberbullying
probably worst though,not_cyberbullying
contact form site bugged,not_cyberbullying
turn use email subject prefix break everything,not_cyberbullying
silly wordpress,not_cyberbullying
thing uber even horrible sexist shitty company would still,gender
think third period teacher like always tell go class walk u class,not_cyberbullying
quote jacking one hand pointing,not_cyberbullying
hope round humbled girl cook,gender
look dc public school bullying lgbt student gone,gender
really miss classmate n schoolmate,not_cyberbullying
promo girl going bring next round,gender
bring store bought capsicum,not_cyberbullying
fuck paper bullshit,other_cyberbullying
charlie brown thanksgiving,not_cyberbullying
rte lead shutting badal school backward area amp parent mostly allow join far away school,not_cyberbullying
feeling perturbed woman humble kindly go set fire,gender
oh hey ashamed disgusting self,other_cyberbullying
good news ever problem big mean bully know call,other_cyberbullying
done bother rest pathetic shit show,not_cyberbullying
rather funny u completely different yet complement skill set well,not_cyberbullying
noticed save witty reply sexist little panache,gender
yeap breeding violence thing well,not_cyberbullying
lil bro bully last night,other_cyberbullying
time trying squeeze logic religious nut crazy isi,religion
follow news report shooting death trial,not_cyberbullying
unlike men fix car fit giant fucking swelled head,other_cyberbullying
really bean,not_cyberbullying
wait voting come back school,not_cyberbullying
rt ceo sony europe vehemently unequivocally condemns misogynistic harassment,other_cyberbullying
even alle bully beatdown afleveringen gedownload van season 1 en 2,other_cyberbullying
freaky as ready as hoe,not_cyberbullying
old oil cliche,not_cyberbullying
rt round round go stop nobody know,not_cyberbullying
first social test year,not_cyberbullying
start thursday,not_cyberbullying
class canceled tomorrow tho,not_cyberbullying
thing facebook well cause shit promote cyber bullying,other_cyberbullying
even pickthall englishman muslim convert,gender
boy gianluca toni class another big 6ft 5 lunk,gender
mum need college bad handbag,not_cyberbullying
really wish could graduate already go college get away sibling,not_cyberbullying
best bully stick spotlight breed honor maddie american eskimo always love getting email,ethnicity
walk circle around black meteor mecca delusion please god,ethnicity
know hundred christian single one fit discription,religion
like people like ramus complain thing support done others,not_cyberbullying
best martial art stopping bullying,other_cyberbullying
swore raven gon na whoop as,not_cyberbullying
rt seriously feed formula newborn twenty time vitamin breastmilk,not_cyberbullying
anti bullying workshop offer parent practical legal solution 30 percent student nationwide h,other_cyberbullying
benchmark success team greek next door always going feeling confident,not_cyberbullying
know never recall name employer,not_cyberbullying
rt might eat word receiving great feedback ham gruyere dish,not_cyberbullying
white dude win nobel lit shocking next tell novel speak universal human experience,gender
kudos able stretch show,not_cyberbullying
month onto show still dont final team,not_cyberbullying
people seem really warped view republican even mean lately,not_cyberbullying
party line majorly shifted,not_cyberbullying
lolol boy whipped af,gender
come stay alive knight nation,not_cyberbullying
still early bird special,not_cyberbullying
